,world_region,BUChange,year,By,type
0,Europe,10156.44581,1975-1990,A-POP,positive
1,Europe,6625.061294,1990-2000,A-POP,positive
2,Europe,10869.42468,2000-2015,A-POP,positive
3,RusCA,5466.51559,1975-1990,A-POP,positive
4,RusCA,2141.087346,1990-2000,A-POP,positive
5,RusCA,3501.032763,2000-2015,A-POP,positive
6,LatinAmerica,7879.102161,1975-1990,A-POP,positive
7,LatinAmerica,7408.937903,1990-2000,A-POP,positive
8,LatinAmerica,10114.43513,2000-2015,A-POP,positive
9,MEandNAF,6145.399521,1975-1990,A-POP,positive
10,MEandNAF,5946.946466,1990-2000,A-POP,positive
11,MEandNAF,7638.939591,2000-2015,A-POP,positive
12,CanUSA,18710.58028,1975-1990,A-POP,positive
13,CanUSA,17780.8806,1990-2000,A-POP,positive
14,CanUSA,22713.09321,2000-2015,A-POP,positive
15,SSAfrica,6499.961908,1975-1990,A-POP,positive
16,SSAfrica,6687.116062,1990-2000,A-POP,positive
17,SSAfrica,10628.231,2000-2015,A-POP,positive
18,SEA,9194.632808,1975-1990,A-POP,positive
19,SEA,6831.792794,1990-2000,A-POP,positive
20,SEA,7992.894005,2000-2015,A-POP,positive
21,China,18559.87798,1975-1990,A-POP,positive
22,China,12331.61998,1990-2000,A-POP,positive
23,China,15076.06637,2000-2015,A-POP,positive
24,Oceania,1257.757887,1975-1990,A-POP,positive
25,Oceania,940.4673333,1990-2000,A-POP,positive
26,Oceania,2056.490235,2000-2015,A-POP,positive
27,India,7981.561413,1975-1990,A-POP,positive
28,India,6315.352436,1990-2000,A-POP,positive
29,India,9245.443094,2000-2015,A-POP,positive
0,Europe,21368.6959,1975-1990,B-BPC,positive
1,Europe,18079.64769,1990-2000,B-BPC,positive
2,Europe,18664.95523,2000-2015,B-BPC,positive
3,RusCA,4755.62121,1975-1990,B-BPC,positive
4,RusCA,5686.297052,1990-2000,B-BPC,positive
5,RusCA,7322.897622,2000-2015,B-BPC,positive
6,LatinAmerica,2675.126725,1975-1990,B-BPC,positive
7,LatinAmerica,4955.361953,1990-2000,B-BPC,positive
8,LatinAmerica,2929.487342,2000-2015,B-BPC,positive
9,MEandNAF,2148.483478,1975-1990,B-BPC,positive
10,MEandNAF,1262.942955,1990-2000,B-BPC,positive
11,MEandNAF,977.4999238,2000-2015,B-BPC,positive
12,CanUSA,14425.69609,1975-1990,B-BPC,positive
13,CanUSA,18704.20211,1990-2000,B-BPC,positive
14,CanUSA,13301.23659,2000-2015,B-BPC,positive
15,SSAfrica,2066.224929,1975-1990,B-BPC,positive
16,SSAfrica,2442.866527,1990-2000,B-BPC,positive
17,SSAfrica,1406.902359,2000-2015,B-BPC,positive
18,SEA,3204.463999,1975-1990,B-BPC,positive
19,SEA,7277.309432,1990-2000,B-BPC,positive
20,SEA,7180.336043,2000-2015,B-BPC,positive
21,China,25707.19604,1975-1990,B-BPC,positive
22,China,17066.02825,1990-2000,B-BPC,positive
23,China,30463.48912,2000-2015,B-BPC,positive
24,Oceania,685.9060389,1975-1990,B-BPC,positive
25,Oceania,325.201956,1990-2000,B-BPC,positive
26,Oceania,119.5429943,2000-2015,B-BPC,positive
27,India,2970.866378,1975-1990,B-BPC,positive
28,India,5149.530692,1990-2000,B-BPC,positive
29,India,4873.615351,2000-2015,B-BPC,positive
0,Europe,-1707.193753,1975-1990,A-POP,negative
1,Europe,-2936.484157,1990-2000,A-POP,negative
2,Europe,-6318.198946,2000-2015,A-POP,negative
3,RusCA,-207.6922209,1975-1990,A-POP,negative
4,RusCA,-1408.956066,1990-2000,A-POP,negative
5,RusCA,-2333.491082,2000-2015,A-POP,negative
6,LatinAmerica,-48.68807147,1975-1990,A-POP,negative
