,FID,T7590,T9000,T0015
0,0,1,2,5
1,1,9,3,6
2,2,5,1,5
3,3,5,5,2
4,4,5,2,5
5,5,2,2,2
6,6,5,2,2
7,7,5,5,5
8,8,9,3,6
9,9,6,2,5
10,10,5,2,5
11,11,5,2,2
12,12,6,3,6
13,13,9,3,6
14,14,1,1,2
15,15,2,2,2
16,16,6,5,1
17,17,9,9,9
18,18,3,3,5
19,19,3,3,2
20,20,6,3,6
21,21,6,3,9
22,22,6,3,5
23,23,6,2,5
24,24,3,1,5
25,25,3,1,2
26,26,9,1,5
27,27,9,2,5
28,28,6,1,5
29,29,3,1,5
30,30,3,2,5
31,31,2,1,1
32,32,5,1,5
33,33,2,1,2
34,34,5,9,9
35,35,5,9,6
36,36,5,9,6
37,37,5,6,2
38,38,5,6,2
39,39,1,6,2
40,40,1,3,2
41,41,9,5,9
42,42,5,5,3
43,43,3,3,9
44,44,9,9,9
45,45,9,9,9
46,46,9,6,9
47,47,9,9,9
48,48,9,9,9
49,49,9,6,9
50,50,2,2,2
51,51,9,5,6
52,52,9,9,9
53,53,9,5,5
54,54,9,5,6
55,55,9,9,9
56,56,5,2,5
57,57,5,5,5
58,58,5,3,5
59,59,9,5,5
60,60,9,2,3
61,61,9,6,9
62,62,9,6,9
63,63,9,6,9
64,64,5,2,5
65,65,5,6,5
66,66,5,5,5
67,67,3,9,9
68,68,1,1,2
69,69,9,6,9
70,70,5,2,5
71,71,9,6,9
72,72,5,5,5
73,73,2,2,2
74,74,9,6,6
75,75,9,9,9
76,76,5,2,5
77,77,9,6,9
78,78,5,3,5
79,79,6,5,5
80,80,9,5,5
81,81,6,6,9
82,82,9,3,9
83,83,6,6,6
84,84,6,3,6
85,85,9,6,9
86,86,6,3,9
87,87,5,5,1
88,88,9,9,5
89,89,5,5,5
90,90,9,9,5
91,91,5,5,1
92,92,9,9,5
93,93,5,5,2
94,94,9,9,5
95,95,9,9,6
96,96,5,5,5
97,97,5,5,2
98,98,5,2,5
99,99,9,6,9
100,100,5,2,5
101,101,5,2,2
102,102,5,2,5
103,103,9,3,9
104,104,5,2,2
105,105,5,2,2
106,106,5,2,5
107,107,5,2,5
108,108,5,2,5
109,109,9,9,3
110,110,9,9,6
111,111,9,9,3
112,112,9,9,9
113,113,9,9,5
114,114,5,5,2
115,115,5,5,2
116,116,3,3,3
117,117,9,9,5
118,118,9,9,5
119,119,6,9,1
120,120,9,9,3
121,121,5,9,5
122,122,5,9,2
123,123,5,5,2
124,124,9,9,9
125,125,9,9,9
126,126,5,9,2
127,127,5,9,2
128,128,9,9,2
129,129,9,9,1
130,130,5,5,1
131,131,9,9,5
132,132,9,9,2
133,133,9,9,9
134,134,9,9,9
135,135,3,9,3
136,136,6,9,2
137,137,9,9,9
138,138,3,9,2
139,139,9,9,9
140,140,9,9,9
141,141,9,9,9
142,142,6,6,6
143,143,5,6,6
144,144,6,6,6
145,145,6,6,9
146,146,2,1,2
147,147,5,2,5
148,148,2,1,2
149,149,5,5,5
150,150,6,6,9
151,151,5,5,5
152,152,2,5,5
153,153,2,2,5
154,154,2,2,2
155,155,9,6,9
156,156,9,6,9
157,157,9,5,9
158,158,9,9,9
159,159,9,9,9
160,160,9,5,2
161,161,9,5,1
162,162,9,9,2
163,163,9,9,2
164,164,5,2,2
165,165,5,5,5
166,166,5,5,5
167,167,5,5,5
168,168,5,5,2
169,169,5,5,5
170,170,5,5,5
171,171,5,5,5
172,172,5,5,5
173,173,5,5,5
174,174,5,5,5
175,175,5,5,5
176,176,5,5,5
177,177,5,5,5
178,178,5,2,2
179,179,5,3,5
180,180,9,3,3
181,181,5,2,2
182,182,5,2,2
183,183,5,3,5
184,184,5,2,5
185,185,3,2,2
186,186,1,5,5
187,187,9,2,2
188,188,9,3,5
189,189,9,9,5
190,190,5,5,1
191,191,9,9,9
192,192,5,5,2
193,193,5,5,1
194,194,9,5,5
195,195,9,9,2
196,196,9,9,6
197,197,5,5,5
198,198,9,9,5
199,199,9,9,5
200,200,5,5,1
201,201,9,9,5
202,202,9,9,5
203,203,9,9,6
204,204,9,9,5
205,205,9,9,5
206,206,5,1,1
207,207,9,9,9
208,208,9,6,5
209,209,9,6,5
210,210,9,6,5
211,211,3,6,2
212,212,9,6,5
213,213,5,5,2
214,214,9,5,5
215,215,9,5,5
216,216,9,9,9
217,217,9,6,6
218,218,6,6,5
219,219,3,9,5
220,220,9,9,5
221,221,6,5,5
222,222,9,9,5
223,223,9,9,9
224,224,6,6,6
225,225,6,6,5
226,226,2,2,6
227,227,2,2,6
228,228,3,6,9
229,229,3,3,6
230,230,1,2,5
231,231,3,3,6
232,232,6,6,6
233,233,2,2,5
234,234,6,6,6
235,235,3,3,6
236,236,3,3,6
237,237,3,3,6
238,238,3,3,6
239,239,2,2,6
240,240,2,2,6
241,241,2,2,5
242,242,3,3,6
243,243,6,6,6
244,244,6,5,3
245,245,2,2,5
246,246,5,2,6
247,247,6,6,6
248,248,5,5,6
249,249,2,2,6
250,250,2,2,5
251,251,3,3,6
252,252,3,3,6
253,253,3,6,9
254,254,6,6,6
255,255,9,9,9
256,256,6,6,6
257,257,9,9,9
258,258,6,9,9
259,259,9,5,5
260,260,3,6,5
261,261,5,2,2
262,262,6,2,5
263,263,3,2,2
264,264,6,5,5
265,265,6,5,5
266,266,5,5,5
267,267,3,2,2
268,268,5,2,2
269,269,9,5,5
270,270,6,2,2
271,271,9,6,5
272,272,6,2,5
273,273,5,5,5
274,274,9,6,6
275,275,5,5,5
276,276,9,6,6
277,277,5,5,5
278,278,9,5,6
279,279,9,9,9
280,280,6,5,5
281,281,9,6,6
282,282,5,5,5
283,283,5,5,5
284,284,5,5,5
285,285,2,3,6
286,286,2,2,9
287,287,6,3,9
288,288,2,3,6
289,289,1,2,5
290,290,2,3,9
291,291,2,2,5
292,292,1,2,5
293,293,2,3,9
294,294,5,6,6
295,295,2,2,5
296,296,2,3,9
297,297,1,2,5
298,298,1,3,6
299,299,9,2,9
300,300,9,5,9
301,301,6,1,9
302,302,9,1,9
303,303,9,5,9
304,304,9,2,9
305,305,9,6,6
306,306,9,6,6
307,307,9,6,5
308,308,9,6,6
309,309,9,9,5
310,310,6,6,3
311,311,9,6,6
312,312,9,6,6
313,313,3,6,6
314,314,3,6,6
315,315,9,6,6
316,316,6,6,6
317,317,9,6,6
318,318,3,3,6
319,319,3,6,6
320,320,3,3,6
321,321,6,6,6
322,322,6,9,6
323,323,6,9,6
324,324,9,6,6
325,325,6,6,6
326,326,6,6,6
327,327,6,6,5
328,328,9,9,9
329,329,9,6,9
330,330,6,5,5
331,331,6,3,5
332,332,5,5,5
333,333,9,9,9
334,334,2,2,2
335,335,6,6,5
336,336,9,6,9
337,337,5,6,5
338,338,6,3,5
339,339,6,6,5
340,340,5,3,5
341,341,6,3,2
342,342,6,3,6
343,343,1,3,2
344,344,6,3,6
345,345,6,6,5
346,346,3,3,2
347,347,6,6,6
348,348,3,3,6
349,349,3,3,2
350,350,3,3,2
351,351,3,3,2
352,352,3,2,2
353,353,3,3,6
354,354,3,2,2
355,355,3,3,3
356,356,3,3,5
357,357,3,3,2
358,358,6,5,5
359,359,6,2,5
360,360,3,5,5
361,361,2,1,1
362,362,1,1,1
363,363,3,5,5
364,364,6,5,5
365,365,2,2,5
366,366,3,5,5
367,367,6,5,6
368,368,2,1,1
369,369,2,1,1
