Period,region_type,1,2,3,5,6,9
P1975-1990,0,1,2,15,18,30,39
P1975-1990,1,13,124,429,91,250,400
P1975-1990,2,2,88,214,153,215,239
P1975-1990,3,189,1514,2475,997,1414,1539
P1975-1990,4,2665,13581,17923,6677,8608,15197
P1990-2000,0,3,2,15,22,30,33
P1990-2000,1,29,263,376,138,232,269
P1990-2000,2,11,168,180,156,243,153
P1990-2000,3,344,2392,2416,952,1340,684
P1990-2000,4,6087,19590,19752,4260,9148,5814
P2000-2015,0,3,3,2,42,16,39
P2000-2015,1,43,285,158,264,239,318
P2000-2015,2,19,113,32,342,188,217
P2000-2015,3,382,2179,836,2092,1559,1080
P2000-2015,4,8546,15164,8074,12536,11521,8810
