,a_code,NoRegion,Period,ByPOP_inc,ByPOP_dec,ByBPC_inc,ByBPC_dec,HUDI_POP,HUDI_BPC
0,ALA,16,75-90,0.5659563982195475,-0.028557452286149476,0.0926697956422034,-0.4408047865756013,0.9495412502164674,-0.7897713489862256
1,ALA,16,90-00,0.37123031923824573,-0.030127951249961083,0.5016036620117155,0.0,0.9188429670513367,1.0
2,ALA,16,00-15,0.6864311116770698,-0.022924669263929675,0.5829355941059519,-0.04462503451909194,0.9666031028111172,0.9234477445359408
3,AND,7,75-90,1.9737316903915076,0.0,0.19664303908989483,-0.10748872348140226,1.0,0.45338149787105314
4,AND,7,90-00,1.318253947576104,0.0,0.7547092994894153,-0.07660926706551949,1.0,0.8984916879686681
5,AND,7,00-15,1.6649643216854006,-0.4373625701092517,1.0232002135536777,-0.549346961129826,0.7373141487701544,0.4631090241645978
6,ARM,11,75-90,76.71929934163902,0.0,34.024127745595095,-27.343097368234123,1.0,0.1963615475263999
7,ARM,11,90-00,0.0,-48.78288817772644,94.53891531572643,0.0,-1.0,1.0
8,ARM,11,00-15,7.597441182108941,-10.461389023967204,24.7034347242541,-0.8446797193958308,-0.2737636307470178,0.9658071952817753
9,ATG,8,75-90,0.0,0.0,0.0,0.0,,
10,ATG,8,90-00,1.475485918631714,0.0,0.0183174112114969,-0.7252683778432105,1.0,-0.9747439544159241
11,ATG,8,00-15,1.465764467283909,-0.00944099725551339,0.2961964503121033,-0.7393108943404989,0.9935589943225955,-0.5993614424195319
12,BES,3,75-90,0.06489565187129961,0.0,0.03831534212870042,0.0,1.0,1.0
13,BES,3,90-00,0.7958808364250655,0.0,0.35940513988745854,-0.35342508331252415,1.0,0.016638761974319398
14,BES,3,00-15,4.680389733753034,0.0,0.006417499826210342,-4.196445230579246,1.0,-0.9984707295166284
15,BHR,5,75-90,93.45167738248433,0.0,0.0,-76.76207542248433,1.0,-1.0
16,BHR,5,90-00,48.52400862460014,0.0,0.0,-36.48710279460015,1.0,-1.0
17,BHR,5,00-15,127.57004855486187,0.0,0.0,-117.84164606486188,1.0,-1.0
18,BHS,32,75-90,28.471978817543885,-0.08285433145413777,0.4843108656327585,-18.367311627722508,0.9970899693349349,-0.973631913289816
19,BHS,32,90-00,15.473252591046425,-0.15775136584694302,2.489978213051375,-2.818535876250867,0.9898048994599735,-0.11657033212453902
20,BHS,32,00-15,28.806260316504087,-0.09469392619724233,0.5236733363013477,-21.93818255560818,0.9967127310120506,-0.976129593462268
21,BLZ,6,75-90,6.984994466415602,0.0,0.36423913045154915,-1.6897586148671515,1.0,-0.7844430990043004
22,BLZ,6,90-00,7.71971892608939,0.0,3.029517212763014,-0.48636734385240543,1.0,0.8394571445894433
23,BLZ,6,00-15,12.575070363084619,0.0,0.0,-8.677851257084617,1.0,-1.0
24,BMU,11,75-90,0.0,0.0,0.0,0.0,,
25,BMU,11,90-00,0.0,0.0,0.0,0.0,,
26,BMU,11,00-15,0.3398156224399723,-0.8544574240359615,1.3293865070359616,-0.19198755643997234,-0.6023024519643351,0.8555818376191937
27,BRB,11,75-90,0.0,0.0,0.0,0.0,,
28,BRB,11,90-00,4.841917619453375,-0.24415327092044808,18.551998189467074,0.0,0.9495750877835027,1.0
29,BRB,11,00-15,7.478537886610441,-1.1069652939482317,2.2788786789803743,-6.247457221642585,0.8519810542204861,-0.6352310070910401
30,COM,3,75-90,0.0,0.0,0.0,0.0,,
31,COM,3,90-00,0.0,0.0,0.0,0.0,,
32,COM,3,00-15,9.49457288172564,0.0,2.6024012672743573,0.0,1.0,1.0
33,CPV,22,75-90,0.0,0.0,0.0,0.0,,
34,CPV,22,90-00,0.0,0.0,0.0,0.0,,
35,CPV,22,00-15,2.6296424586218694,-0.6298650302423046,1.4636386969787716,-2.2147982473583365,0.7604750302927489,-0.3391548423318006
36,CYM,7,75-90,8.508762909897651,0.0,0.18406316352493962,-4.67312205342259,1.0,-0.9606123783156634
37,CYM,7,90-00,7.4912501596984065,0.0,0.0,-5.095552286698405,1.0,-1.0
38,CYM,7,00-15,5.9039560533347695,-0.06310109228477055,0.3554444697609876,-3.863418374810986,0.9893120660596502,-0.9079974169822139
39,CYP,5,75-90,28.8508577194079,0.0,2.695413860841651,-9.351242480249548,1.0,-0.7117587457993367
40,CYP,5,90-00,43.25936894002658,0.0,0.5911109003954033,-8.99082895042199,1.0,-0.9342540155468468
41,CYP,5,00-15,55.35970914401007,0.0,0.0,-29.49311038401006,1.0,-1.0
42,DMA,10,75-90,0.460900619150846,-0.13871129736619991,0.2623473339918265,-0.2645706117764723,0.6990429354992865,-0.00840334370366177
43,DMA,10,90-00,0.27754350712581577,-0.1243592197247879,0.38988024479540656,-0.05803749819643459,0.5519289173339821,0.8511401924791282
44,DMA,10,00-15,0.642803047353796,-0.13251800605976558,0.2222736187039401,-0.48825276699797093,0.793843531692487,-0.5447570731230206
45,ESH,4,75-90,8.857877906436578,0.0,0.0,-6.436711912436577,1.0,-1.0
46,ESH,4,90-00,4.107711494409818,0.0,0.13528376484314572,-1.7280153282529631,1.0,-0.9217114786939311
47,ESH,4,00-15,8.50514833459482,0.0,0.0,-7.3516232905948184,1.0,-1.0
48,FSM,4,75-90,0.0,0.0,0.0,0.0,,
49,FSM,4,90-00,0.0,0.0,0.0,0.0,,
50,FSM,4,00-15,0.09818101463718859,-0.17365858928205857,1.1281115706448699,0.0,-0.4346319692962512,1.0
