a_code,Period,POP_NEW,BPC_NEW
ALA,75-90,0.94954125,-0.789771349
AND,75-90,1,0.453381498
ARM,75-90,1,0.196361548
ATG,75-90,0,0
BES,75-90,1,1
BHR,75-90,1,-1
BHS,75-90,0.997089969,-0.973631913
BLZ,75-90,1,-0.784443099
BMU,75-90,0,0
BRB,75-90,0,0
COM,75-90,0,0
CPV,75-90,0,0
CYM,75-90,1,-0.960612378
CYP,75-90,1,-0.711758746
DMA,75-90,0.699042935,-0.008403344
ESH,75-90,1,-1
FSM,75-90,0,0
GGY,75-90,1,-0.907941168
GRD,75-90,0,0
GRL,75-90,-1,1
GUM,75-90,0,0
HKG,75-90,1,-0.760330261
IRL,75-90,0.936586868,0.967251422
ISR,75-90,1,-0.581337125
JAM,75-90,1,0.168597072
JEY,75-90,1,-1
KNA,75-90,-0.560920588,0.981343945
KWT,75-90,1,-0.984072751
LBY,75-90,1,-0.863925576
LCA,75-90,1,-0.82127859
LIE,75-90,0.999468192,-0.912880592
LSO,75-90,1,1
MDA,75-90,0.931542863,0.93334757
MKD,75-90,0.976857244,1
MNE,75-90,0.911260625,0.349396812
MNP,75-90,0,0
MSR,75-90,0,0
MUS,75-90,0,0
MYT,75-90,0,0
NRU,75-90,0,0
PLW,75-90,0,0
PRI,75-90,0.99232858,-0.779774957
PYF,75-90,0,0
QAT,75-90,1,-1
SAU,75-90,1,0.296466407
SGP,75-90,0,0
SJM,75-90,0,0
SMR,75-90,0.982190306,0.875396261
SPM,75-90,0.78374786,1
SYC,75-90,0,0
TCA,75-90,0.998469462,-0.996341577
TKL,75-90,0,0
TKM,75-90,1,-1
TON,75-90,0,0
TTO,75-90,0,0
TUV,75-90,0,0
VCT,75-90,0,0
VGB,75-90,0.996603968,-0.994731772
XAD,75-90,1,-1
XNC,75-90,1,-1
COD,75-90,0.996938139,-0.854896987
AFG,75-90,0.408939622,0.991128314
AGO,75-90,0.997137014,-0.832214643
ALB,75-90,0.951520315,-0.851184741
ARE,75-90,1,-0.997810595
ARG,75-90,0.999933548,0.543859607
ASM,75-90,0,0
