Period,tj,BU_start,BU_end,POP_start,POP_end,BU_change,POP_change
P1975-1990,1,4945.910434923996,7201.037786804005,160914437.79708952,100748547.54279262,2255.127351880009,-60165890.2542969
P1975-1990,2,80167.59993373587,118823.75296943133,793132288.5635247,827148000.3100033,38656.15303569546,34015711.74647856
P1975-1990,3,39530.63362589607,91822.90803445506,1122792160.5620413,1604724999.560306,52292.27440855899,481932838.9982648
P1975-1990,5,87580.12035735205,97329.2273734188,518405889.3011383,553444698.1008683,9749.107016066759,35038808.79973006
P1975-1990,6,91731.69448454982,121875.43105629433,843917138.703072,1178178922.8803396,30143.736571744506,334261784.1772677
P1975-1990,9,71108.57643666094,81000.57403445287,641133574.6395826,1027625208.9177812,9891.997597791938,386491634.2781986
P1990-2000,1,16849.161329719955,21301.319597510006,217625322.8929762,164958628.59153605,4452.1582677900515,-52666694.30144015
P1990-2000,2,155368.85560976737,199189.51161417327,1356305061.9301038,1373118898.5843644,43820.6560044059,16813836.654260635
P1990-2000,3,70155.92936850905,110477.832021558,1518838320.2659817,1896475937.8128924,40321.90265304895,377637617.54691076
P1990-2000,5,93351.29678262598,101421.66688444404,596101351.2576321,621380014.2100298,8070.370101818058,25278662.952397704
P1990-2000,6,128572.66515403679,156412.36942868473,1049362301.7857862,1300287443.8278625,27839.704274647942,250925142.04207635
P1990-2000,9,53755.02301019809,60845.64687433813,553638019.1796151,767244373.9952704,7090.623864140034,213606354.81565523
P2000-2015,1,28301.34780033606,33752.74650541095,290599460.13717234,216402794.8422603,5451.398705074887,-74196665.29491204
P2000-2015,2,150306.8587906351,195968.11842311497,1360067135.0861151,1357428226.7193513,45661.259632479865,-2638908.36676383
P2000-2015,3,18332.641188520945,33456.755851051035,627013359.4890977,847992061.032942,15124.11466253009,220978701.54384434
P2000-2015,5,238499.2887113739,263461.56884508405,1529025724.2114232,1629529660.8795054,24962.280133710155,100503936.66808224
P2000-2015,6,127716.05005870388,157826.3028407116,1334702341.080928,1743346903.6550603,30110.252782007723,408644562.5741322
P2000-2015,9,86492.15987113593,98041.67981603798,982057277.0172162,1513957351.2617128,11549.519944902058,531900074.2444966
