Period,region_type,BU_start,BU_end,POP_start,POP_end,BU_change,POP_change
P1975-1990,0,17134.280804060993,21742.286897178008,191744634.63110292,250348861.902651,4608.006093117016,58604227.27154809
P1975-1990,1,25719.064203087044,38749.98579471796,377891410.5259427,503902004.46399456,13030.921591630919,126010593.93805188
P1975-1990,2,52693.03780042699,68958.33593895403,453910323.6737436,595496418.3884002,16265.29813852704,141586094.7146566
P1975-1990,3,77226.49654314296,118480.57601347368,1081064872.5484703,1407865070.6709604,41254.07947033072,326800198.12249017
P1975-1990,4,202291.65592240423,270121.74661053385,1975684248.1871867,2534258021.886068,67830.09068812963,558573773.6988811
P1990-2000,0,21742.286897178008,25502.08068389599,250348861.902651,301165157.68363,3759.7937867179826,50816295.78097898
P1990-2000,1,38749.98579471796,50514.849304201896,503902004.46399456,588619097.3230792,11764.863509483934,84717092.85908467
P1990-2000,2,68958.33593895403,83062.80986838114,595496418.3884002,695847961.1637819,14104.473929427113,100351542.77538168
P1990-2000,3,118480.57601347368,153644.1432523032,1407865070.6709604,1611096057.5829,35163.567238829535,203230986.91193962
P1990-2000,4,270121.74661053385,336924.4633119268,2534258021.886068,2926737023.268551,66802.71670139296,392479001.382483
P2000-2015,0,25502.08068389599,27885.690874184995,301165157.68363,367148588.7462999,2383.610190289004,65983431.06266993
P2000-2015,1,50514.849304201896,64927.11534517,588619097.3230792,705517816.3453381,14412.266040968105,116898719.02225888
P2000-2015,2,83062.80986838114,94513.95454598696,695847961.1637819,828013738.455721,11451.144677605815,132165777.29193914
P2000-2015,3,153644.1432523032,194847.78414531547,1611096057.5829,1870742346.1452658,41203.640893012256,259646288.56236577
P2000-2015,4,336924.4633119268,400332.6273707507,2926737023.268551,3537234508.698167,63408.164058823895,610497485.429616
